Plant Code,Plant Name,State,County,solar_mw,Latitude,Longitude,landfalls_100km
65431,Anhinga Solar Energy Center,FL,Clay,74.5,29.88213,-81.67618,1
65594,FPL Etonia Creek,FL,Putnam,74.5,29.76723,-81.77749,1
65882,Terrill Creek,FL,Clay,74.5,29.88143,-81.76258,1
65907,Georges Lake,FL,Putnam,74.5,29.756975,-81.759128,1
65924,Nature Trail,FL,Baker,74.5,30.272333,-82.156833,1
63223,Brightside,TX,Bee,50.7,28.430988,-97.889555,1
60552,Hattiesburg Solar Farm,MS,Forrest,50.0,31.275828,-89.301156,1
59864,Kings Bay Solar Facility,GA,Camden,30.0,30.827627,-81.556238,1
64233,Hecate Energy Frye Solar LLC,TX,Swisher,500.0,34.4067,-101.59661,0
64347,Mockingbird Solar Center,TX,Lamar,471.0,33.39167,-95.42519,0
63255,2W Permian Solar Project Hybrid,TX,Andrews,420.0,32.116388,-102.528333,0
62561,"Roadrunner, LLC Hybrid",TX,Upton,400.0,31.219444,-102.19222,0
65762,Waco Solar,TX,Limestone,400.0,31.710422,-96.818676,0
66420,Five Wells Solar Center - Hybrid,TX,Bell,355.4,30.998647,-97.259017,0
65644,Lumina II Solar Project,TX,Scurry,326.6,32.883528,-100.746389,0
65645,Lumina Solar Project,TX,Scurry,326.6,32.901081,-100.982695,0
64859,"IP Radian, LLC",TX,Brown,320.0,31.5481,-99.1872,0
67006,Greasewood II LLC,TX,Pecos,306.0,31.10409,-102.60625,0
63328,Juno Solar Project,TX,Borden,305.6,32.772889,-101.39102,0
62755,Prospero Solar,TX,Andrews,300.0,32.287873,-102.840399,0
63194,Delilah Solar Energy LLC,TX,Red River,300.0,33.284418,-95.163557,0
65030,Oxbow Solar 1,LA,Pointe Coupee,300.0,30.667878,-91.391706,0
65271,Noble Solar,TX,Denton,275.0,33.261505,-97.238057,0
63320,Titan Solar Project,TX,Culberson,260.0,31.70038,-104.458136,0
62483,Taygete Energy Project LLC,TX,Pecos,255.0,31.165245,-103.125868,0
62804,Greasewood Solar,TX,Pecos,255.0,31.030996,-102.488209,0
65654,Texas Solar Nova 1,TX,Kent,252.0,33.320637,-100.982201,0
61346,RE Maplewood,TX,Pecos,250.0,30.976638,-102.257753,0
61906,Phoebe Solar,TX,Winkler,250.0,31.843422,-102.868295,0
61920,Galloway 1 Solar Farm,TX,Concho,250.0,31.435932,-99.796613,0
63211,Samson Solar Energy,TX,Franklin,250.0,33.25102,-95.193426,0
63840,Sparta Solar,TX,Bee,250.0,28.655277,-98.001388,0
