Plant Code,Plant Name,State,County,solar_mw,Latitude,Longitude,onset_cat,surge_exposed,surge_descr,depth_source
67104,Bayou Galion Solar Project,LA,Morehouse Parish,98.1,32.79754,-91.78413,,False,no-surge/NoData,NOAA_CFEM_composite
61986,Spring Grove I,VA,Surry,97.9,37.173916,-76.919245,,False,no-surge/NoData,NOAA_CFEM_composite
62730,Desper Solar,VA,Louisa,88.2,38.015735,-78.043131,,False,no-surge/NoData,NOAA_CFEM_composite
62165,Snipesville,GA,Jeff Davis,86.0,31.715814,-82.74946,,False,no-surge/NoData,NOAA_CFEM_composite
67421,Cavalier Solar A2,VA,Isle of Wight,84.4,37.018,-76.7358,,False,no-surge/NoData,NOAA_CFEM_composite
62505,G.S.E. One LLC,TX,Fannin,83.0,33.500378,-96.146489,,False,no-surge/NoData,NOAA_CFEM_composite
67171,Foxhound,VA,Halifax,83.0,36.875897,-78.741874,,False,no-surge/NoData,NOAA_CFEM_composite
63549,Water Strider Solar,VA,Halifax,80.0,37.016375,-79.027061,,False,no-surge/NoData,NOAA_CFEM_composite
64469,Wing,AL,Covington,80.0,31.007777,-86.59194,,False,no-surge/NoData,NOAA_CFEM_composite
62813,Grasshopper Solar,VA,Mecklenburg,80.0,36.85,-78.45,,False,no-surge/NoData,NOAA_CFEM_composite
59944,"Conetoe II Solar, LLC",NC,Edgecombe,80.0,35.822,-77.481,,False,no-surge/NoData,NOAA_CFEM_composite
63797,Ellis Solar LLC,TX,Ellis,80.0,32.467194,-97.054333,,False,no-surge/NoData,NOAA_CFEM_composite
62768,Piney Creek Solar,VA,Halifax,80.0,36.818554,-78.771892,,False,no-surge/NoData,NOAA_CFEM_composite
60127,"Eastern Shore Solar, LLC",VA,Accomack,80.0,37.943895,-75.569556,,False,no-surge/NoData,NOAA_CFEM_composite
66542,Bulldog Solar LLC,GA,Warren,80.0,33.371,-82.678,,False,no-surge/NoData,NOAA_CFEM_composite
59450,"Decatur Parkway Solar Project, LLC",GA,Decatur,80.0,30.991944,-84.633889,,False,no-surge/NoData,NOAA_CFEM_composite
64150,Lancaster Solar GA,GA,Randolph,80.0,31.766506,-84.797206,,False,no-surge/NoData,NOAA_CFEM_composite
64019,Altavista Solar,VA,Campbell,80.0,37.148199,-79.347497,,False,no-surge/NoData,NOAA_CFEM_composite
63745,"Greensville County Solar Project, LLC",VA,Greensville,80.0,36.64,-77.57,,False,no-surge/NoData,NOAA_CFEM_composite
64144,"Harts Mill Solar, LLC",NC,Edgecombe,80.0,35.9,-77.64,,False,no-surge/NoData,NOAA_CFEM_composite
62340,"Aulander Holloman Solar, LLC",NC,Hertford,80.0,36.29116,-77.066561,,False,no-surge/NoData,NOAA_CFEM_composite
66025,Blackwater Solar,GA,Ware,80.0,31.394022,-82.625047,,False,no-surge/NoData,NOAA_CFEM_composite
68774,Fountain Creek Solar,VA,Greensville,80.0,36.59,-77.67,,False,no-surge/NoData,NOAA_CFEM_composite
66173,SR Ailey,GA,Montgomery,80.0,32.193594,-82.538735,,False,no-surge/NoData,NOAA_CFEM_composite
67021,CPV Stagecoach Solar,GA,Macon,80.0,32.197779,-84.069313,,False,no-surge/NoData,NOAA_CFEM_composite
63076,Gutenberg Solar,NC,Northampton,79.9,36.486428,-77.534825,,False,no-surge/NoData,NOAA_CFEM_composite
60583,LaFayette Solar Farm,AL,Chambers,79.2,32.876313,-85.38821,,False,no-surge/NoData,NOAA_CFEM_composite
65106,"Phobos Solar, LLC",NC,Nash,78.8,35.882921,-78.154961,,False,no-surge/NoData,NOAA_CFEM_composite
63842,"Trent River Solar, LLC",NC,Jones,78.7,34.9915,-77.2514,,False,no-surge/NoData,NOAA_CFEM_composite
66544,Moonshot,MS,Hancock,78.5,30.437172,-89.502896,,False,no-surge/NoData,NOAA_CFEM_composite
66543,Cane Creek,MS,Clarke,78.5,31.976997,-88.887575,,False,no-surge/NoData,NOAA_CFEM_composite
59671,Innovative Solar 46,NC,Cumberland,78.5,34.918194,-78.94355,,False,no-surge/NoData,NOAA_CFEM_composite
65521,"Longbow Solar, LLC",TX,Brazoria,78.1,29.289809,-95.298609,,False,no-surge/NoData,NOAA_CFEM_composite
60082,"White Oak Solar, LLC",GA,Burke,76.5,33.036789,-82.111292,,False,no-surge/NoData,NOAA_CFEM_composite
62012,Pleinmont Solar 1,VA,Spotsylvania,75.0,38.247123,-77.786223,,False,no-surge/NoData,NOAA_CFEM_composite
62679,Palmetto Plains,SC,Orangeburg,75.0,33.340179,-80.697336,,False,no-surge/NoData,NOAA_CFEM_composite
66841,Foxglove Solar,VA,Frederick,75.0,39.073825,-78.280117,,False,no-surge/NoData,NOAA_CFEM_composite
63810,"Centerfield Cooper Solar, LLC",SC,Chesterfield,75.0,34.708762,-80.118838,,False,no-surge/NoData,NOAA_CFEM_composite
63813,"Gunsight Solar, LLC",SC,Lexington,75.0,33.761136,-81.066705,,False,no-surge/NoData,NOAA_CFEM_composite
63271,Huntley,SC,Orangeburg,75.0,33.335583,-80.634174,,False,no-surge/NoData,NOAA_CFEM_composite
63808,"Allora Solar, LLC",SC,Lexington,75.0,33.899338,-81.400467,,False,no-surge/NoData,NOAA_CFEM_composite
62828,TWE Bowman Solar Project,SC,Orangeburg,75.0,33.316159,-80.68244,,False,no-surge/NoData,NOAA_CFEM_composite
60058,"River Bend Solar, LLC (AL)",AL,Lauderdale,75.0,34.831511,-87.842204,,False,no-surge/NoData,NOAA_CFEM_composite
66837,Alton Post Office Solar,VA,Halifax,75.0,36.568918,-79.032915,,False,no-surge/NoData,NOAA_CFEM_composite
64533,Fort Green Solar Power Plant,FL,Hardee,74.9,27.641125,-81.941581,,False,no-surge/NoData,NOAA_CFEM_composite
66709,Beulah Solar,SC,Saluda,74.9,33.945207,-81.571162,,False,no-surge/NoData,NOAA_CFEM_composite
65292,Rice Creek,FL,Putnam,74.9,29.74118,-81.69886,,False,no-surge/NoData,NOAA_CFEM_composite
61982,Columbia Solar Power Plant,FL,Columbia,74.9,29.882644,-82.696145,,False,no-surge/NoData,NOAA_CFEM_composite
65173,Hardeetown Solar Power Plant,FL,Levy,74.9,29.48562,-82.843455,,False,no-surge/NoData,NOAA_CFEM_composite
67049,County Line Renewable Energy Center,FL,Gilchrist,74.9,29.812218,-82.67597,,False,no-surge/NoData,NOAA_CFEM_composite
